latitude,longitude,properties
23.86680551,120.5506601,"{""類別"":""大樓"",""建築物名稱"":""王永和(聯發塑膠公司)   "",""電腦編號"":""JOA00122"",""村里別"":""大新里"",""地址"":""彰化縣北斗鎮大新里四海路78號"",""緯度"":""23.86680551"",""經度"":""120.5506601"",""地下樓層數"":""1.0"",""可容納人數"":""18 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮大新里四海路78號""}"
23.8687657,120.5496741,"{""類別"":""大樓"",""建築物名稱"":""王炎成(好品味) "",""電腦編號"":""JOA00123"",""村里別"":""大新里"",""地址"":""彰化縣北斗鎮大新里新工一路108號"",""緯度"":""23.8687657"",""經度"":""120.5496741"",""地下樓層數"":""1.0"",""可容納人數"":""111 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮大新里新工一路108號""}"
23.86686594,120.5499748,"{""類別"":""大樓"",""建築物名稱"":""信鋐工業"",""電腦編號"":""JOA00109"",""村里別"":""大新里"",""地址"":""彰化縣北斗鎮大新里四海路2段2巷79號"",""緯度"":""23.86686594"",""經度"":""120.5499748"",""地下樓層數"":""1.0"",""可容納人數"":""80 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮大新里四海路2段2巷79號""}"
23.86838103,120.5506042,"{""類別"":""大樓"",""建築物名稱"":""合興工業"",""電腦編號"":""JOA00139"",""村里別"":""大新里"",""地址"":""彰化縣北斗鎮大新里新工一路103號"",""緯度"":""23.86838103"",""經度"":""120.5506042"",""地下樓層數"":""1.0"",""可容納人數"":""135 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮大新里新工一路103號""}"
23.86764985,120.5515528,"{""類別"":""大樓"",""建築物名稱"":""邱清源(聯豪公司)"",""電腦編號"":""JOA00133"",""村里別"":""大新里"",""地址"":""彰化縣北斗鎮大新里新工路76號"",""緯度"":""23.86764985"",""經度"":""120.5515528"",""地下樓層數"":""1.0"",""可容納人數"":""112 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮大新里新工路76號""}"
23.86791469,120.5515635,"{""類別"":""大樓"",""建築物名稱"":""翁朝濱(貞宇公司) "",""電腦編號"":""JOA00153"",""村里別"":""大新里"",""地址"":""彰化縣北斗鎮大新里新工三路3段89號"",""緯度"":""23.86791469"",""經度"":""120.5515635"",""地下樓層數"":""1.0"",""可容納人數"":""55 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮大新里新工三路3段89號""}"
23.86803511,120.5494558,"{""類別"":""大樓"",""建築物名稱"":""瑞銘金屬工業"",""電腦編號"":""JOA00128"",""村里別"":""大新里"",""地址"":""彰化縣北斗鎮大新里四海路2段35號"",""緯度"":""23.86803511"",""經度"":""120.5494558"",""地下樓層數"":""1.0"",""可容納人數"":""34 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮大新里四海路2段35號""}"
23.86878147,120.5503203,"{""類別"":""大樓"",""建築物名稱"":""惠普醫工"",""電腦編號"":""JOA00120"",""村里別"":""大新里"",""地址"":""彰化縣北斗鎮大新里新工一路100號"",""緯度"":""23.86878147"",""經度"":""120.5503203"",""地下樓層數"":""1.0"",""可容納人數"":""66 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮大新里新工一路100號""}"
23.86875555,120.55204,"{""類別"":""大樓"",""建築物名稱"":""台灣生物製劑"",""電腦編號"":""JOA00158"",""村里別"":""大新里"",""地址"":""彰化縣北斗鎮大新里財神路20號"",""緯度"":""23.86875555"",""經度"":""120.55204"",""地下樓層數"":""1.0"",""可容納人數"":""61 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮大新里財神路20號""}"
23.86939022,120.5521716,"{""類別"":""大樓"",""建築物名稱"":""寶緯公司"",""電腦編號"":""JOA00168"",""村里別"":""大新里"",""地址"":""彰化縣北斗鎮大新里財神路30號"",""緯度"":""23.86939022"",""經度"":""120.5521716"",""地下樓層數"":""1.0"",""可容納人數"":""1,193 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮大新里財神路30號""}"
23.86677562,120.5506342,"{""類別"":""大樓"",""建築物名稱"":""大威興業有限公司"",""電腦編號"":""JOA00141"",""村里別"":""大新里"",""地址"":""彰化縣北斗鎮大新里四海路1段88號"",""緯度"":""23.86677562"",""經度"":""120.5506342"",""地下樓層數"":""1.0"",""可容納人數"":""398 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮大新里四海路1段88號""}"
23.87318986,120.525239,"{""類別"":""大樓"",""建築物名稱"":""北斗奠安宮"",""電腦編號"":""JOA00050"",""村里別"":""光復里"",""地址"":""彰化縣北斗鎮光復里中華路123號"",""緯度"":""23.87318986"",""經度"":""120.525239"",""地下樓層數"":""1.0"",""可容納人數"":""153 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮光復里中華路123號""}"
23.87526374,120.5243613,"{""類別"":""大樓"",""建築物名稱"":""北斗稅捐處"",""電腦編號"":""JOA00033"",""村里別"":""光復里"",""地址"":""彰化縣北斗鎮光復里光復路238號"",""緯度"":""23.87526374"",""經度"":""120.5243613"",""地下樓層數"":""1.0"",""可容納人數"":""96 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮光復里光復路238號""}"
23.87842897,120.5226246,"{""類別"":""大樓"",""建築物名稱"":""北斗家商 "",""電腦編號"":""JOA00157"",""村里別"":""大道里"",""地址"":""彰化縣北斗鎮大道里學府路50號"",""緯度"":""23.87842897"",""經度"":""120.5226246"",""地下樓層數"":""1.0"",""可容納人數"":""230 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮大道里學府路50號""}"
23.87756092,120.5184169,"{""類別"":""大樓"",""建築物名稱"":""北斗家商 "",""電腦編號"":""JOA00031"",""村里別"":""大道里"",""地址"":""彰化縣北斗鎮大道里文苑路17號"",""緯度"":""23.87756092"",""經度"":""120.5184169"",""地下樓層數"":""1.0"",""可容納人數"":""154 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮大道里文苑路17號""}"
23.87848784,120.5225066,"{""類別"":""大樓"",""建築物名稱"":""北斗家商 "",""電腦編號"":""JOA00032"",""村里別"":""大道里"",""地址"":""彰化縣北斗鎮大道里學府路50號"",""緯度"":""23.87848784"",""經度"":""120.5225066"",""地下樓層數"":""1.0"",""可容納人數"":""596 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮大道里學府路50號""}"
23.87834068,120.5226568,"{""類別"":""大樓"",""建築物名稱"":""北斗家商 "",""電腦編號"":""JOA00064"",""村里別"":""大道里"",""地址"":""彰化縣北斗鎮大道里學府路50號"",""緯度"":""23.87834068"",""經度"":""120.5226568"",""地下樓層數"":""1.0"",""可容納人數"":""357 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮大道里學府路50號""}"
23.87755111,120.5184276,"{""類別"":""大樓"",""建築物名稱"":""北斗家商 "",""電腦編號"":""JOA00132"",""村里別"":""大道里"",""地址"":""彰化縣北斗鎮大道里文苑路17號"",""緯度"":""23.87755111"",""經度"":""120.5184276"",""地下樓層數"":""1.0"",""可容納人數"":""154 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮大道里文苑路17號""}"
23.8789024,120.5174548,"{""類別"":""大樓"",""建築物名稱"":""北斗國中  "",""電腦編號"":""JOA00159"",""村里別"":""大道里"",""地址"":""彰化縣北斗鎮大道里文苑路1段136號"",""緯度"":""23.8789024"",""經度"":""120.5174548"",""地下樓層數"":""1.0"",""可容納人數"":""264 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮大道里文苑路1段136號""}"
23.87874538,120.5205744,"{""類別"":""大樓"",""建築物名稱"":""國泰人壽(吳東進)"",""電腦編號"":""JOA00145"",""村里別"":""大道里"",""地址"":""彰化縣北斗鎮大道里中山路2段309號"",""緯度"":""23.87874538"",""經度"":""120.5205744"",""地下樓層數"":""1.0"",""可容納人數"":""456 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮大道里中山路2段309號""}"
23.86951453,120.5186598,"{""類別"":""大樓"",""建築物名稱"":""北斗消防隊"",""電腦編號"":""JOA00119"",""村里別"":""西德里"",""地址"":""彰化縣北斗鎮公所路12號"",""緯度"":""23.86951453"",""經度"":""120.5186598"",""地下樓層數"":""1.0"",""可容納人數"":""58 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮公所路12號""}"
23.89204703,120.5260582,"{""類別"":""大樓"",""建築物名稱"":""北斗鎮公所"",""電腦編號"":""JOA00009"",""村里別"":""西德里"",""地址"":""彰化縣北斗鎮西德里公所路2號"",""緯度"":""23.89204703"",""經度"":""120.5260582"",""地下樓層數"":""1.0"",""可容納人數"":""138 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮西德里公所路2號""}"
23.87661395,120.5122327,"{""類別"":""大樓"",""建築物名稱"":""北斗菸酒公賣局"",""電腦編號"":""JOA00055"",""村里別"":""西安里"",""地址"":""彰化縣北斗鎮西安里斗苑路2段243號"",""緯度"":""23.87661395"",""經度"":""120.5122327"",""地下樓層數"":""1.0"",""可容納人數"":""57 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮西安里斗苑路2段243號""}"
23.87230784,120.5155044,"{""類別"":""大樓"",""建築物名稱"":""卓醫院 "",""電腦編號"":""JOA00003"",""村里別"":""西安里"",""地址"":""彰化縣北斗鎮西安里中山路1段311號"",""緯度"":""23.87230784"",""經度"":""120.5155044"",""地下樓層數"":""1.0"",""可容納人數"":""8 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮西安里中山路1段311號""}"
23.87235689,120.5155688,"{""類別"":""大樓"",""建築物名稱"":""卓木鐸(卓綜合醫院) "",""電腦編號"":""JOA00164"",""村里別"":""西安里"",""地址"":""彰化縣北斗鎮西安里中山路1段311號-1"",""緯度"":""23.87235689"",""經度"":""120.5155688"",""地下樓層數"":""1.0"",""可容納人數"":""372 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮西安里中山路1段311號-1""}"
23.87251451,120.5266061,"{""類別"":""大樓"",""建築物名稱"":""北斗鎮市場"",""電腦編號"":""JOA00036"",""村里別"":""七星里"",""地址"":""彰化縣北斗鎮七星里斗苑路1段73號"",""緯度"":""23.87251451"",""經度"":""120.5266061"",""地下樓層數"":""1.0"",""可容納人數"":""666 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮七星里斗苑路1段73號""}"
23.87188613,120.5266761,"{""類別"":""大樓"",""建築物名稱"":""易國顯"",""電腦編號"":""JOA00075"",""村里別"":""七星里"",""地址"":""彰化縣北斗鎮七星里民權路92號"",""緯度"":""23.87188613"",""經度"":""120.5266761"",""地下樓層數"":""1.0"",""可容納人數"":""101 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮七星里民權路92號""}"
23.85832231,120.5274731,"{""類別"":""大樓"",""建築物名稱"":""陳汝堅 （弘揚綠材有限公司）"",""電腦編號"":""JOA00107"",""村里別"":""七星里"",""地址"":""彰化縣北斗鎮七星里神農路1-8號"",""緯度"":""23.85832231"",""經度"":""120.5274731"",""地下樓層數"":""1.0"",""可容納人數"":""114 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮七星里神農路1-8號""}"
23.87467894,120.5233484,"{""類別"":""大樓"",""建築物名稱"":""林應興(松順園邸公寓大廈)"",""電腦編號"":""JOA00167"",""村里別"":""新政里"",""地址"":""彰化縣北斗鎮新政里地政路470號"",""緯度"":""23.87467894"",""經度"":""120.5233484"",""地下樓層數"":""1.0"",""可容納人數"":""427 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮新政里地政路470號""}"
23.87332033,120.5242093,"{""類別"":""大樓"",""建築物名稱"":"" 世業行 "",""電腦編號"":""JOA00115"",""村里別"":""新政里"",""地址"":""彰化縣北斗鎮新政里中華路190號"",""緯度"":""23.87332033"",""經度"":""120.5242093"",""地下樓層數"":""1.0"",""可容納人數"":""93 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮新政里中華路190號""}"
23.87892794,120.534543,"{""類別"":""大樓"",""建築物名稱"":""承成塑膠廠股份有限公司 "",""電腦編號"":""JOA00130"",""村里別"":""文昌里"",""地址"":""彰化縣北斗鎮文昌里後溪巷8號"",""緯度"":""23.87892794"",""經度"":""120.534543"",""地下樓層數"":""1.0"",""可容納人數"":""40 "",""備註"":"""",""placemark_address"":""彰化縣北斗鎮文昌里後溪巷8號""}"
