類別,電腦編號,村里別,地址,地下樓層數,可容納人數,備註
旅館,TPA00367,羅莊里,宜蘭縣羅東鎮羅莊里站東路190號,1.0,8883.0,
學校,TPA00370,賢文里,宜蘭縣羅東鎮賢文里中華路47號,1.0,7452.0,
公寓,TPA00335,季新村,宜蘭縣五結鄉季新村季水路清水一巷1號,1.0,7134.0,
公寓,TPA00332,季新村,宜蘭縣五結鄉季新村季水路清水一巷1號,1.0,5881.0,
學校,TPA00351,五結村,宜蘭縣五結鄉五結村國民中路20號,1.0,5362.0,
大樓,TPA00189,北成里,宜蘭縣羅東鎮北成里四維路157號,1.0,5133.0,
工廠,TPA00350,大興村,宜蘭縣冬山鄉龍祥九路1號,1.0,4884.0,
大樓,TPA00363,四結村,宜蘭縣五結鄉四結村中正路一段172號,1.0,4812.0,
大樓,TPA00016,中興村,宜蘭縣五結鄉中興村台興路99號,1.0,4170.0,
學校,TPA00360,南昌里,宜蘭縣羅東鎮南昌里民族路1號,1.0,4000.0,
大樓,TPA00373,南昌里,宜蘭縣羅東鎮南昌里博愛路22號,1.0,3927.0,
醫院,TPA00232,南昌里,宜蘭縣羅東鎮南昌里南昌街81號,1.0,3842.0,
大樓,TPA00015,中興村,宜蘭縣五結鄉中興村台興路117號,1.0,3412.0,
公寓,TPA00338,季新村,宜蘭縣五結鄉季新村季水路清水一巷1號,1.0,3288.0,
公寓,TPA00333,季新村,宜蘭縣五結鄉季新村季水路清水一巷1號,1.0,3282.0,
公寓,TPA00013,上四村,宜蘭縣五結鄉上四村中正西路41巷9號,1.0,3238.0,
大樓,TPA00093,賢文里,宜蘭縣羅東鎮賢文里純精路二段195號,1.0,3224.0,
大樓,TPA00352,成功里,宜蘭縣羅東鎮成功里南門路49號,1.0,3164.0,
大樓,TPA00372,樹林里,宜蘭縣羅東鎮樹林里豐年路39巷25-8號,1.0,3020.0,
大樓,TPA00264,東安里,宜蘭縣羅東鎮東安里禮運路1號,1.0,2934.0,
學校,TPA00361,國華里,宜蘭縣羅東鎮國華里國華街101號,1.0,2871.0,
大樓,TPA00001,利澤村,宜蘭縣五結鄉利澤村利澤西路3之26號,1.0,2869.0,
大樓,TPA00279,東安里,宜蘭縣羅東鎮東安里光榮路269號,1.0,2632.0,
醫院,TPA00362,南昌里,宜蘭縣羅東鎮南昌里中正南路160號,1.0,2581.0,
醫院,TPA00226,南昌里,宜蘭縣羅東鎮南昌里南昌街79號,1.0,2564.0,
大樓,TPA00272,新群里,宜蘭縣羅東鎮新群里中山路一段137號,1.0,2550.0,
公寓,TPA00337,季新村,宜蘭縣五結鄉季新村季水路清水一巷1號,1.0,2544.0,
大樓,TPA00196,國華里,宜蘭縣羅東鎮國華里公正路561號,1.0,2389.0,
大樓,TPA00277,羅莊里,宜蘭縣羅東鎮羅莊里天祥路42巷1號,1.0,2361.0,
公寓,TPA00334,季新村,宜蘭縣五結鄉季新村季水路清水一巷1號,1.0,2156.0,
大樓,TPA00371,信義里,宜蘭縣羅東鎮信義里純精路三段156號,1.0,2130.0,
大樓,TPA00107,信義里,宜蘭縣羅東鎮信義里純精路三段162號,1.0,2092.0,
大樓,TPA00259,大新里,宜蘭縣羅東鎮大新里安平路45號,1.0,2078.0,
大樓,TPA00178,漢民里,宜蘭縣羅東鎮漢民里北成路一段16號,1.0,2018.0,
公寓,TPA00236,大新里,宜蘭縣羅東鎮大新里安平路47之1號,1.0,1953.0,
大樓,TPA00369,漢民里,宜蘭縣羅東鎮漢民里純精路二段113號,1.0,1848.0,
大樓,TPA00083,公正里,宜蘭縣羅東鎮公正里倉前路67號,1.0,1782.0,
大樓,TPA00265,羅莊里,宜蘭縣羅東鎮羅莊里站東路106號,1.0,1744.0,
大樓,TPA00327,成興村,宜蘭縣五結鄉成興村五濱路一段136巷22號,1.0,1706.0,
大樓,TPA00339,成興村,宜蘭縣五結鄉成興村五濱路一段136巷21號,1.0,1706.0,
大樓,TPA00311,珍珠村,宜蘭縣冬山鄉珍珠村幸福二路188號,1.0,1624.0,
大樓,TPA00025,福興村,宜蘭縣五結鄉福興村陽明北路2號,1.0,1620.0,
大樓,TPA00188,國華里,宜蘭縣羅東鎮國華里公正路557號,1.0,1500.0,
工廠,TPA00300,大興村,宜蘭縣冬山鄉大興村龍祥十路2號,1.0,1462.0,
大樓,TPA00262,東安里,宜蘭縣羅東鎮東安里安康路76號,1.0,1454.0,
大樓,TPA00325,集祥里,宜蘭縣羅東鎮集祥里公正路155號,1.0,1446.0,
工廠,TPA00354,大興村,宜蘭縣冬山鄉大興村龍祥十路2號,1.0,1440.0,
公寓,TPA00346,鎮安村,宜蘭縣五結鄉鎮安村西河一路7號,1.0,1438.0,
大樓,TPA00323,大新里,宜蘭縣羅東鎮大新里中正北路30號,1.0,1418.0,
大樓,TPA00273,南昌里,宜蘭縣羅東鎮南昌里站前南路87號,1.0,1374.0,
公寓,TPA00364,協和村,宜蘭縣五結鄉協和村19鄰親河路二段58巷78號,1.0,1370.0,
大樓,TPA00096,賢文里,宜蘭縣羅東鎮賢文里公正路289號,1.0,1369.0,
寺廟,TPA00358,維揚里,宜蘭縣羅東鎮維揚里維揚路55巷16號,1.0,1360.0,
大樓,TPA00195,國華里,宜蘭縣羅東鎮國華里公正路517號,1.0,1337.0,
電信局,TPA00331,香和村,宜蘭縣冬山鄉香和村冬山路一段879號,1.0,1329.0,
大樓,TPA00254,羅莊里,宜蘭縣羅東鎮羅莊里康莊路79號,1.0,1266.0,
大樓,TPA00087,信義里,宜蘭縣羅東鎮信義里純精路3段252巷1號,1.0,1260.0,
公寓,TPA00341,仁德里,宜蘭縣羅東鎮仁德里興東南路232號,1.0,1232.0,
學校,TPA00359,公正里,宜蘭縣羅東鎮公正里中華路99號,1.0,1228.0,
工廠,TPA00017,中興村,宜蘭縣五結鄉中興村中興路三段8號,1.0,1212.0,
公寓,TPA00329,樹林里,宜蘭縣羅東鎮樹林里樹人路36號,1.0,1188.0,
大樓,TPA00095,公正里,宜蘭縣羅東鎮公正里倉前路77號,1.0,1170.0,
大樓,TPA00032,協和村,宜蘭縣五結鄉協和村公園三路35號,1.0,1162.0,
公寓,TPA00085,信義里,宜蘭縣羅東鎮信義里純精路三段162號,1.0,1162.0,
大樓,TPA00255,羅莊里,宜蘭縣羅東鎮羅莊里天祥路17號,1.0,1160.0,
工廠,TPA00301,大興村,宜蘭縣冬山鄉大興村自強路31號,1.0,1141.0,
大樓,TPA00033,協和村,宜蘭縣五結鄉協和村親河路二段123號,1.0,1132.0,
公寓,TPA00099,樹林里,宜蘭縣羅東鎮樹林里豐年路207號,1.0,1130.0,
大樓,TPA00345,光榮里,宜蘭縣羅東鎮光榮里光榮路491號,1.0,1074.0,
大樓,TPA00116,中山里,宜蘭縣羅東鎮中山里興東路6號,1.0,1056.0,
公寓,TPA00357,東安里,宜蘭縣羅東鎮東安里光榮路405巷2號,1.0,1054.0,
工廠,TPA00292,大興村,宜蘭縣冬山鄉大興村龍祥十路2號,1.0,1049.0,
公寓,TPA00201,漢民里,宜蘭縣羅東鎮漢民里北成路一段13號,1.0,1044.0,
大樓,TPA00031,協和村,宜蘭縣五結鄉協和村協福路62號,1.0,1017.0,
大樓,TPA00014,二結村,宜蘭縣五結鄉四結村中正路三段21號,1.0,1013.0,
大樓,TPA00046,集祥里,宜蘭縣羅東鎮集祥里興東路8之1號,1.0,973.0,
大樓,TPA00080,賢文里,宜蘭縣羅東鎮賢文里興東路85號,1.0,965.0,
大樓,TPA00082,信義里,宜蘭縣羅東鎮信義里中正北路42號,1.0,942.0,
大樓,TPA00269,羅莊里,宜蘭縣羅東鎮羅莊里康莊路90號,1.0,937.0,
公寓,TPA00172,國華里,宜蘭縣羅東鎮國華里四育路10號,1.0,933.0,
大樓,TPA00108,公正里,宜蘭縣羅東鎮公正里倉前路81號,1.0,898.0,
公寓,TPA00336,季新村,宜蘭縣五結鄉季新村季水路清水一巷1號,1.0,893.0,
工廠,TPA00288,三奇村,宜蘭縣冬山鄉三奇村龍祥八路2號,1.0,890.0,
工廠,TPA00303,三奇村,宜蘭縣冬山鄉三奇村龍祥八路2號,1.0,890.0,
公寓,TPA00194,國華里,宜蘭縣羅東鎮國華里四育路83號,1.0,872.0,
大樓,TPA00275,羅莊里,宜蘭縣羅東鎮羅莊里康莊路100號,1.0,872.0,
大樓,TPA00103,賢文里,宜蘭縣羅東鎮賢文里公正路371號,1.0,860.0,
學校,TPA00234,南昌里,宜蘭縣羅東鎮南昌里南昌街53巷1號,1.0,857.0,
公寓,TPA00086,信義里,宜蘭縣羅東鎮信義里天津路75號,1.0,844.0,
大樓,TPA00090,信義里,宜蘭縣羅東鎮信義里興東路263號,1.0,829.0,
公寓,TPA00175,國華里,宜蘭縣羅東鎮國華里光華街18號,1.0,816.0,
大樓,TPA00280,羅莊里,宜蘭縣羅東鎮羅莊里光榮路45號,1.0,766.0,
大樓,TPA00184,成功里,宜蘭縣羅東鎮成功里南門路37號,1.0,752.0,
大樓,TPA00038,公正里,宜蘭縣羅東鎮公正里公正路158號,1.0,746.0,
農會,TPA00158,西安里,宜蘭縣羅東鎮西安里純精路一段109號,1.0,745.0,
大樓,TPA00072,信義里,宜蘭縣羅東鎮信義里純精路3段160巷16號,1.0,733.0,
大樓,TPA00246,大新里,宜蘭縣羅東鎮大新里公正路27號,1.0,730.0,
大樓,TPA00258,東安里,宜蘭縣羅東鎮東安里站東路292號,1.0,725.0,
大樓,TPA00267,羅莊里,宜蘭縣羅東鎮羅莊里天祥路8號,1.0,721.0,
大樓,TPA00210,大新里,宜蘭縣羅東鎮大新里中正路186號,1.0,706.0,
工廠,TPA00286,三奇村,宜蘭縣冬山鄉三奇村龍祥八路2號,1.0,698.0,
