編號,村里別,地址,可容納人數,地下樓層數,類別,備註,placemark_address
1.0,東寮里,彰化縣溪湖鎮東寮里彰水路4段43號,"211 ","1 ",新光人壽,,彰化縣溪湖鎮東寮里彰水路4段43號
2.0,東寮里,彰化縣溪湖鎮東寮里彰水路4段150號,"1,181 ","1 ",大學市公寓大樓,,彰化縣溪湖鎮東寮里彰水路4段150號
4.0,太平里,彰化縣溪湖鎮太平里員鹿路3段185號,"355 ","1 ",大樓,,彰化縣溪湖鎮太平里員鹿路3段185號
5.0,太平里,彰化縣溪湖鎮太平里太平街57號,"385 ","1 ",溪湖圖書館,,彰化縣溪湖鎮太平里太平街57號
6.0,太平里,彰化縣溪湖鎮太平里太平街131號,"308 ","1 ",大樓,,彰化縣溪湖鎮太平里太平街131號
7.0,太平里,彰化縣溪湖鎮太平里地政路252號,"1,529 ","1 ",健美企業,,彰化縣溪湖鎮太平里地政路252號
8.0,河東里,彰化縣溪湖鎮河東里二溪路2段584號,"93 ","1 ",三環企業公司,,彰化縣溪湖鎮河東里二溪路2段584號
9.0,湖西里,彰化縣溪湖鎮湖西里大公路8號,"788 ","1 ",大樓,,彰化縣溪湖鎮湖西里大公路8號
10.0,湖西里,彰化縣溪湖鎮湖西里二溪路1段150號,"147 ","1 ",大樓,,彰化縣溪湖鎮湖西里二溪路1段150號
11.0,湖西里,彰化縣溪湖鎮湖西里二溪路1段148號,"127 ","1 ",大樓,,彰化縣溪湖鎮湖西里二溪路1段148號
12.0,湖西里,彰化縣溪湖鎮湖西里華中街5號,"709 ","1 ",榮華富貴大樓,,彰化縣溪湖鎮湖西里華中街5號
13.0,湖西里,彰化縣溪湖鎮湖西里大公路99號,"213 ","1 ",溪湖地政事務所,,彰化縣溪湖鎮湖西里大公路99號
14.0,大突里,彰化縣溪湖鎮大突里大公路179號,"321 ","1 ",展亞商務旅館,,彰化縣溪湖鎮大突里大公路179號
15.0,大竹里,彰化縣溪湖鎮大竹里西環路177號,"2,755 ","1 ",西環特區,,彰化縣溪湖鎮大竹里西環路177號
16.0,湖東里,彰化縣溪湖鎮湖東里青雅路36號,"572 ","1 ",溪湖衛生所,,彰化縣溪湖鎮湖東里青雅路36號
17.0,湖東里,彰化縣溪湖鎮湖東里大溪路2段330號,"244 ","1 ",溪湖消防分隊,,彰化縣溪湖鎮湖東里大溪路2段330號
19.0,湖東里,彰化縣溪湖鎮湖東里大溪路2段86號,"1,296 ","1 ",溪湖高中,,彰化縣溪湖鎮湖東里大溪路2段86號
20.0,湖東里,彰化縣溪湖鎮湖東里大溪路2段86號,"1,840 ","1 ",溪湖高中,,彰化縣溪湖鎮湖東里大溪路2段86號
22.0,東溪里,彰化縣溪湖鎮東溪里員鹿路1段42號,"67 ","1 ",維美家紡工業公司,,彰化縣溪湖鎮東溪里員鹿路1段42號
23.0,光平里,彰化縣溪湖鎮光平里行政街262之1號,"396 ","1 ",大樓,,彰化縣溪湖鎮光平里行政街262之1號
24.0,光平里,彰化縣溪湖鎮光平里東環路425之1號,"393 ","1 ",真耶穌教會,,彰化縣溪湖鎮光平里東環路425之1號
25.0,光平里,彰化縣溪湖鎮光平里東環路555號,"617 ","1 ",國泰人壽,,彰化縣溪湖鎮光平里東環路555號
27.0,平和里,彰化縣溪湖鎮平和里員鹿路3段69號,"27 ","1 ",溪湖鎮農會,,彰化縣溪湖鎮平和里員鹿路3段69號
28.0,平和里,彰化縣溪湖鎮平和里民生街9號,"2,129 ","1 ",溪湖鎮第一公有零售市場,,彰化縣溪湖鎮平和里民生街9號
29.0,西寮里,彰化縣溪湖鎮西寮里員鹿路4段660號,"21 ","1 ",喬統工業公司,,彰化縣溪湖鎮西寮里員鹿路4段660號
30.0,西溪里,彰化縣溪湖鎮西溪里忠工路262號,"51 ","1 ",昱欣塑膠公司,,彰化縣溪湖鎮西溪里忠工路262號
31.0,西溪里,彰化縣溪湖鎮西溪里員鹿路後溪巷99號,"24 ","1 ",洪隆企業公司,,彰化縣溪湖鎮西溪里員鹿路後溪巷99號
32.0,西溪里,彰化縣溪湖鎮西溪里員鹿路後溪巷79之61號,"88 ","1 ",彰益車業公司,,彰化縣溪湖鎮西溪里員鹿路後溪巷79之61號
33.0,中山里,彰化縣溪湖鎮中山里銀錠路666號,"21 ","1 ",大樓,,彰化縣溪湖鎮中山里銀錠路666號
34.0,忠覺里,彰化縣溪湖鎮忠覺里忠工路24號,"64 ","1 ",桂宬公司,,彰化縣溪湖鎮忠覺里忠工路24號
35.0,埔心村,彰化縣埔心鄉埔心村員鹿路3段320號,"171 ","1 ",信國塑膠,,彰化縣埔心鄉埔心村員鹿路3段320號
36.0,義民村,彰化縣埔心鄉義民村員鹿路2段328號,"253 ","1 ",埔心鄉圖書館,,彰化縣埔心鄉義民村員鹿路2段328號
37.0,義民村,彰化縣埔心鄉義民村忠義北路100號,"87 ","1 ",埔心鄉農會,,彰化縣埔心鄉義民村忠義北路100號
38.0,義民村,彰化縣埔心鄉義民村育英路5之2號,"734 ","1 ",山雲建設,,彰化縣埔心鄉義民村育英路5之2號
39.0,義民村,彰化縣埔心鄉義民村忠義北路51號,"1,285 ","1 ",埔心國中,,彰化縣埔心鄉義民村忠義北路51號
40.0,義民村,彰化縣埔心鄉義民村員鹿路2段344號,"1,043 ","1 ",埔心鄉公所,,彰化縣埔心鄉義民村員鹿路2段344號
41.0,東門村,彰化縣埔心鄉東門村中正路216號,"109 ","1 ",正大造紙廠,,彰化縣埔心鄉東門村中正路216號
42.0,東門村,彰化縣埔心鄉東門村中正路192號,"128 ","1 ",六合機械公司,,彰化縣埔心鄉東門村中正路192號
43.0,東門村,彰化縣埔心鄉東門村中正路189號,"75 ","1 ",帝陽塑膠公司,,彰化縣埔心鄉東門村中正路189號
45.0,東門村,彰化縣埔心鄉東門村員鹿路2段189號,"189 ","1 ",源益製罐公司,,彰化縣埔心鄉東門村員鹿路2段189號
