電腦編號,建築物名稱,地址,緯度,經度,避難樓層,可容納人數,轄管分局,備註
A001,德龍國小,桃園市龍潭區八德里聖亭路八德段451巷140號,"24.882057 ","121.195061 ",B01,574.0,龍潭分局,
A003,工廠,桃園市龍潭區八德里湧光路一段169巷75號,"24.887595 ","121.192974 ",B01,131.0,龍潭分局,
A004,工廠,桃園市龍潭區八德里湧光路一段169巷27號,"24.887585 ","121.192995 ",B01,45.0,龍潭分局,
A005,工廠,桃園市龍潭區聖亭路八德段236號,"24.878652 ","121.199814 ",B01,720.0,龍潭分局,
A006,工廠,桃園市龍潭區聖亭路八德段236-2號,"24.878652 ","121.199814 ",B01,124.0,龍潭分局,
A007,工廠,桃園市龍潭區湧光路一段169巷89號,"24.887451 ","121.193049 ",B01,51.0,龍潭分局,
A009,私人住宅大樓,桃園市龍潭區烏樹林里中豐路168號,"24.875042 ","121.213713 ",B01,541.0,龍潭分局,
A010,龍潭分局,(機敏單位)桃園市龍潭區凌雲里干城路21號,,,B01,1191.0,龍潭分局,
A011,潛龍國小,桃園市龍潭區烏林里中豐路401號,"24.881071 ","121.211493 ",B01,652.0,龍潭分局,
A012,工廠,桃園市龍潭區烏林里工五路69號,"24.888439 ","121.210094 ",B01,1969.0,龍潭分局,
A013,工廠,桃園市龍潭區烏林里工二路280號,"24.887161 ","121.205999 ",B01,176.0,龍潭分局,
A015,工廠,桃園市龍潭區烏林里工二路17號,"24.885561 ","121.211412 ",B01,80.0,龍潭分局,
A016,工廠,桃園市龍潭區烏林里工五路90巷56號,"24.890233 ","121.209658 ",B01,1290.0,龍潭分局,
A017,工廠,桃園市龍潭區烏林里工二路65號,"24.885983 ","121.210348 ",B01,146.0,龍潭分局,
A018,工廠,桃園市龍潭區烏林里工二路128號,"24.886054 ","121.208831 ",B01,6532.0,龍潭分局,
A019,工廠,桃園市龍潭區烏林里工二路32號,"24.885786 ","121.211810 ",B01,579.0,龍潭分局,
A020,工廠,桃園市龍潭區烏林里工五路191巷1號,"24.888112 ","121.207046 ",B01,112.0,龍潭分局,
A021,私人住宅大樓,桃園市龍潭區烏林里中豐路533巷51弄5號,"24.884208 ","121.210867 ",B01,1597.0,龍潭分局,
A022,工廠,桃園市龍潭區烏林里工五路57號,"24.888351 ","121.210658 ",B01,1498.0,龍潭分局,
A023,私人住宅大樓,桃園市龍潭區烏林里中豐路642巷51弄1號,"24.887662 ","121.213978 ",B01,582.0,龍潭分局,
A024,私人住宅大樓,桃園市龍潭區烏林里中豐路594巷62弄66號,"24.885409 ","121.213188 ",B01,413.0,龍潭分局,
A025,私人住宅大樓,桃園市龍潭區凌雲里聖亭路272號,"24.870939 ","121.204163 ",B01,3384.0,龍潭分局,
A026,宏觀大樓,桃園市龍潭區龍祥里中豐路259號,"24.876920 ","121.212230 ",B01,1023.0,龍潭分局,
A027,品都大樓,桃園市龍潭區凌雲里聖亭路130號,"24.867758 ","121.207032 ",B01,1092.0,龍潭分局,
A028,愛豐謙大樓,桃園市龍潭區烏林里中豐路461巷106弄37-3號,"24.883181 ","121.209701 ",B01,5164.0,龍潭分局,
A029,雙城匯大樓,桃園市龍潭區烏林里中豐路461巷106弄50-6號,"24.883327 ","121.209604 ",B01,1099.0,龍潭分局,
A030,樸心居大樓,桃園市龍潭區烏林里中豐路461巷169號,"24.882556 ","121.209090 ",B01,1037.0,龍潭分局,
A031,兆發城之美大樓,桃園市龍潭區烏樹林里中豐路342-10號,"24.879153 ","121.211878 ",B01,2207.0,龍潭分局,
A032,宏觀2大樓,桃園市龍潭區烏樹林里中豐路268巷67號,"24.877704 ","121.212779 ",B01,1016.0,龍潭分局,
A033,工廠,桃園市龍潭區烏林里工七路8號,"24.889810 ","121.204323 ",B01,377.0,龍潭分局,
A034,幸福公園大樓,桃園市龍潭區烏林里中豐路461巷131號,"24.882322 ","121.208897 ",B01,820.0,龍潭分局,
A035,工廠,桃園市龍潭區烏林里工一路150巷8號,"24.880012 ","121.208229 ",B01,500.0,龍潭分局,
A036,工廠,桃園市龍潭區聖德里聖亭路八德段236號,"24.878555 ","121.199824 ",B01,341.0,龍潭分局,
A037,綠意錢龍廠辦大樓,桃園市龍潭區烏林里中豐路461巷176號,"24.882962 ","121.208707 ",B01,2602.0,龍潭分局,
A038,工廠,桃園市龍潭區烏林里工五路90巷56號,"24.890279 ","121.209711 ",B01,1824.0,龍潭分局,
