編號,村里別,地址,避難所在之地下樓層數,可容納人數,轄區分局,經度,緯度,"unnamed (1)"
1.0,協和里,臺中市西屯區協和里工業區38路117巷15號,1.0,986.0,第六分局,"120.589209 ","24.177449 ",
2.0,協和里,臺中市西屯區協和里工業區23路14號,1.0,222.0,第六分局,"120.605138 ","24.162920 ",
3.0,寶山里,臺中市南屯區寶山里工業區十八路11號,1.0,326.0,第六分局,"120.610786 ","24.158966 ",
4.0,至善里,臺中市西屯區至善里青海路二段351號,1.0,1509.0,第六分局,"120.640307 ","24.173670 ",
5.0,逢福里,臺中市西屯區逢福里櫻城二街11號,1.0,811.0,第六分局,"120.650970 ","24.169934 ",
6.0,逢福里,臺中市西屯區逢福里福上巷216弄48號,1.0,111.0,第六分局,"120.648816 ","24.176117 ",
7.0,逢福里,臺中市西屯區逢福里福上巷214弄28號,1.0,147.0,第六分局,"120.649018 ","24.175436 ",
8.0,逢福里,臺中市西屯區逢福里福上巷214弄112號,1.0,564.0,第六分局,"120.650067 ","24.176428 ",
9.0,逢福里,臺中市西屯區逢福里福上巷216弄7號,1.0,155.0,第六分局,"120.648252 ","24.175692 ",
10.0,逢福里,臺中市西屯區逢福里福上巷214弄96號,1.0,2043.0,第六分局,"120.649797 ","24.176373 ",
11.0,逢福里,臺中市西屯區逢福里福上巷214弄49號,1.0,471.0,第六分局,"120.649466 ","24.175977 ",
12.0,西平里,臺中市西屯區西平里西安街127號,1.0,438.0,第六分局,"120.643336 ","24.181947 ",
13.0,西平里,臺中市西屯區西平里西安街130巷10號,1.0,173.0,第六分局,"120.643664 ","24.180993 ",
14.0,西平里,臺中市西屯區西平里西安街277巷25弄26號,1.0,951.0,第六分局,"120.647437 ","24.183157 ",
15.0,港尾里,臺中市西屯區港尾里中康街245號之3,1.0,833.0,第六分局,"120.661055 ","24.199562 ",
16.0,港尾里,臺中市西屯區港尾里中清路180巷52號,1.0,3777.0,第六分局,"120.662001 ","24.200451 ",
17.0,港尾里,臺中市西屯區港尾里中清路208號之22,1.0,208.0,第六分局,"120.653266 ","24.203613 ",
18.0,西安里,臺中市西屯區西安里西屯路二段296號之20,1.0,218.0,第六分局,"120.641797 ","24.178560 ",
19.0,西安里,臺中市西屯區西安里西屯路二段297號之16,1.0,80.0,第六分局,"120.640486 ","24.178640 ",
20.0,西安里,臺中市西屯區西安里西屯路二段297-8巷66號,1.0,120.0,第六分局,"120.639652 ","24.177413 ",
21.0,西安里,臺中市西屯區西安里逢甲路200巷17弄32號,1.0,765.0,第六分局,"120.640054 ","24.176012 ",
22.0,西安里,臺中市西屯區西安里西屯路二段297-8巷3號,1.0,208.0,第六分局,"120.641139 ","24.178288 ",
23.0,至善里,臺中市西屯區至善里逢甲路253巷31號,1.0,2270.0,第六分局,"120.641192 ","24.175477 ",
24.0,西安里,臺中市西屯區西安里逢明街31號,1.0,322.0,第六分局,"120.640100 ","24.176501 ",
25.0,西安里,臺中市西屯區西安里西屯路二段298號,1.0,520.0,第六分局,"120.641296 ","24.178820 ",
26.0,西安里,臺中市西屯區西安里西屯路二段297-8巷12弄32號,1.0,263.0,第六分局,"120.639802 ","24.177969 ",
27.0,西安里,臺中市西屯區西安里逢甲路218弄202號,1.0,555.0,第六分局,"120.640088 ","24.175892 ",
28.0,至善里,臺中市西屯區至善里逢甲路301巷22弄32號,1.0,1144.0,第六分局,"120.638938 ","24.173186 ",
29.0,西安里,臺中市西屯區西安里青海路二段365號,1.0,88.0,第六分局,"120.638688 ","24.175402 ",
30.0,逢甲里,臺中市西屯區逢甲里西屯路二段256巷6號,1.0,1111.0,第六分局,"120.647386 ","24.170850 ",
31.0,逢甲里,臺中市西屯區逢甲里寶慶街50巷45號,2.0,444.0,第六分局,"120.647454 ","24.172170 ",
32.0,逢甲里,臺中市西屯區逢甲里崇義街6號之5,1.0,166.0,第六分局,"120.646666 ","24.173954 ",
