類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備註
新營醫院,OMA00001,民權里,臺南市新營區民權里14鄰信義街73號,"23.310099,120.313441",1.0,127.0,
新營文化中心,OMA00003,民權里,臺南市新營區民權里5鄰中正路23號,"23.308579,120.315842",1.0,1682.0,
新營醫院,OMA00006,民權里,臺南市新營區民權里14鄰信義街73號,"23.310099,120.313441",1.0,240.0,
新營醫院,OMA00007,民權里,臺南市新營區民權里14鄰信義街73號,"23.310099,120.313441",1.0,1045.0,
市府公宅輔建互助會,OMA00010,民權里,臺南市新營區民權里17鄰民治路53巷11號,"23.309080,120.312276",1.0,4187.0,
中正世家大樓,OMA00011,忠政里,臺南市新營區忠政里10鄰中正路53之2號,"23.316407,120.316227",1.0,544.0,
日新大樓,OMA00012,永平里,臺南市新營區永平里15鄰復興路85號,"23.303265,120.311301",1.0,1032.0,
一般住宅,OMA00013,南興里,臺南市新營區南興里1鄰延平路140巷8號,"23.298069,120.312513",1.0,427.0,
我家別墅大樓,OMA00014,民榮里,臺南市新營區民榮里12鄰興農街38號,"23.302240,120.308352",1.0,1389.0,
名悅賓館,OMA00016,民生里,臺南市新營區民生里6鄰民生路20號,"23.304738,120.309582",1.0,137.0,
君館商務旅館,OMA00017,三仙里,臺南市新營區三仙里11鄰民權路25之3號,"23.304469,120.312876",1.0,80.0,
小雅望族,OMA00018,民權里,臺南市新營區民權里11鄰信義街53巷3之4號,"23.305519,120.314424",1.0,93.0,
新民國小,OMA00023,民生里,臺南市新營區民生里18鄰公園路一段136號,"23.30545,120.306223",1.0,204.0,
一客發建設公司,OMA00025,三仙里,臺南市新營區三仙里4鄰三興街52號,"23.310922,120.310188",1.0,501.0,
妙法寺,OMA00026,民榮里,臺南市新營區民榮里14鄰復興路161巷42號,"23.301880,120.305722",1.0,553.0,
世洋飯店,OMA00027,民榮里,臺南市新營區民榮里18鄰新進路二段316號,"23.300909,120.303624",1.0,1043.0,
金山御花園,OMA00028,民榮里,臺南市新營區民榮里20鄰裕民路16巷2之4號,"23.302253,120.306805",1.0,127.0,
萬代江山大樓,OMA00029,民榮里,臺南市新營區民榮里3鄰新進路二段502之2號,"23.303477,120.302772",1.0,267.0,
一般住宅,OMA00030,忠政里,臺南市新營區忠政里3鄰府西路17巷11號,"23.311194,120.313477",1.0,769.0,
健康世家大樓,OMA00031,三仙里,臺南市新營區三仙里7鄰健康路109號,"23.313649,120.312062",1.0,333.0,
臺南市政府民治行政中心-世紀大樓停車場,OMA00032,忠政里,臺南市新營區忠政里2鄰民治路36號,"23.311717,120.314023",1.0,1256.0,
國民黨臺南市黨部新營區民眾服務社,OMA00033,忠政里,臺南市新營區忠政里1鄰民治路34號,"23.31099,120.316232",1.0,489.0,
前臺南縣議會,OMA00034,忠政里,臺南市新營區忠政里2鄰民治路38號,"23.31101,120.315642",1.0,440.0,
前臺南縣議會,OMA00035,忠政里,臺南市新營區忠政里2鄰民治路38號,"23.31101,120.315642",1.0,204.0,
臺南市稅捐稽徵處,OMA00036,忠政里,臺南市新營區忠政里2鄰民治路36號,"23.311717,120.314023",1.0,669.0,
臺南市稅捐稽徵處,OMA00037,忠政里,臺南市新營區忠政里2鄰民治路36號,"23.311717,120.314023",1.0,131.0,
臺南市政府民治市政中心-南瀛大樓廳舍管理科,OMA00038,忠政里,臺南市新營區忠政里2鄰民治路36號,"23.311717,120.314023",1.0,902.0,
南新國中,OMA00039,民生里,臺南市新營區民生里4鄰民治路65號,"23.309519,120.308701",1.0,624.0,
早安新營大樓,OMA00040,民榮里,臺南市新營區民榮里4鄰復興路301號,"23.303819,120.301846",1.0,333.0,
一般住宅,OMA00041,民權里,臺南市新營區民權里15鄰信義街67號,"23.307471,120.31461",1.0,93.0,
家樂福有限公司,OMA00042,三仙里,臺南市新營區三仙里18鄰健康路251號,"23.319348,120.311803",1.0,1767.0,
黃江春節住宅,OMA00043,民榮里,臺南市新營區民榮里18鄰富強街59號,"23.301749,120.304841",1.0,160.0,
民生綠園大樓,OMA00044,民生里,臺南市新營區民生里6鄰民生路52號,"23.306329,120.309014",1.0,200.0,
信一骨科,OMA00045,民生里,臺南市新營區民生里11鄰民生路43之26號,"23.306221,120.307659",1.0,200.0,
私立育德工業家事職業學校,OMA00046,三仙里,臺南市新營區三仙里18鄰健康路211號,"23.31626,120.311914",1.0,267.0,
站前金世界,OMA00047,中營里,臺南市新營區中營里5鄰中山路20號,"23.306799,120.322063",1.0,937.0,
弘昌碾米廠,OMA00048,中營里,臺南市新營區中營里2鄰東山路19巷19號,"23.310714,120.327226",1.0,32.0,
台糖公司新營廠,OMA00050,興業里,臺南市新營區興業里16鄰中興路31巷4號,"23.298449,120.31741",1.0,352.0,
統一企業公司,OMA00051,興業里,臺南市新營區興業里2鄰工業街83號,"23.299330,120.321811",1.0,467.0,
樂仁幼稚園,OMA00052,大宏里,臺南市新營區大宏里8鄰民族路8號,"23.306674,120.318653",1.0,1188.0,
新營國小,OMA00053,大宏里,臺南市新營區大宏里13鄰中正路4號,"23.306539,120.316370",1.0,129.0,
興國中學,OMA00054,新東里,臺南市新營區新東里24鄰大同路86號,"23.312702,120.322434",1.0,536.0,
興國中學,OMA00055,新東里,臺南市新營區新東里24鄰大同路86號,"23.312702,120.322434",1.0,268.0,
新周建設公司,OMA00056,永平里,臺南市新營區永平里6鄰康樂街45號,"23.301649,120.314462",1.0,385.0,
存安蔘藥行,OMA00057,永平里,臺南市新營區永平里7鄰延平路13號,"23.30208,120.313799",1.0,91.0,
長壽西藥房,OMA00058,永平里,臺南市新營區永平里5鄰中山路219號,"23.302859,120.314554",1.0,43.0,
天棋建設公司,OMA00060,中營里,臺南市新營區中營里6鄰新進路37號,"23.30566,120.321867",1.0,392.0,
台灣鹽業倉庫,OMA00061,中營里,臺南市新營區中營里6鄰新進路75號,"23.303370,120.320651",1.0,96.0,
流行頻道素食餐廳,OMA00062,大宏里,臺南市新營區大宏里18鄰大同路14之6號,"23.308121,120.322726",1.0,173.0,
台南市家畜防治中心,OMA00066,王公里,臺南市新營區王公里11鄰長榮路一段501號,"23.319700,120.318984",1.0,264.0,
天理教會,OMA00067,新東里,臺南市新營區新東里13鄰東興六街105號,"23.314260,120.325523",1.0,191.0,
台南地院新營檢察署辦公室,OMA00068,新東里,臺南市新營區新東里24鄰大同路76號,"23.312100,120.32254",1.0,340.0,
