"unnamed (1)","unnamed (3)","unnamed (4)","unnamed (5)","unnamed (6)","unnamed (7)","unnamed (8)","unnamed (9)",placemark_address
SMA03001,民權里,花蓮縣花蓮市民權里公園路53號,23.978028,121.614211,B1,117.0,花蓮分局,花蓮縣花蓮市民權里公園路53號
SMA03002,民權里,花蓮縣花蓮市民權里菁華街2號,23.979448,121.61523,B1,222.0,花蓮分局,花蓮縣花蓮市民權里菁華街2號
SMA03003,民權里,花蓮縣花蓮市民權里菁華街2號,23.979448,121.61523,B1,488.0,花蓮分局,花蓮縣花蓮市民權里菁華街2號
SMA03004,民權里,花蓮縣花蓮市民權里公園路53-2號,23.978377,121.614078,B1,778.0,花蓮分局,花蓮縣花蓮市民權里公園路53-2號
SMA03005,民權里,花蓮縣花蓮市民權里北濱街113號,23.97738,121.616116,B1,144.0,花蓮分局,花蓮縣花蓮市民權里北濱街113號
SMA03006,民族里,花蓮縣花蓮市民族里中山路124號,23.976025,121.610305,B1,334.0,花蓮分局,花蓮縣花蓮市民族里中山路124號
SMA03007,民族里,花蓮縣花蓮市民族里中山路80號,23.975017,121.611096,B1,222.0,花蓮分局,花蓮縣花蓮市民族里中山路80號
SMA03008,民生里,花蓮縣花蓮市民生里公園路5號,23.977277,121.610816,B1、B2,935.0,花蓮分局,花蓮縣花蓮市民生里公園路5號
SMA03009,民生里,花蓮縣花蓮市民生里公園路27號,23.978722,121.613546,B1,237.0,花蓮分局,花蓮縣花蓮市民生里公園路27號
SMA03010,民生里,花蓮縣花蓮市民生里中正路600號,23.979479,121.61118,B1,772.0,花蓮分局,花蓮縣花蓮市民生里中正路600號
SMA03012,民生里,花蓮縣花蓮市民生里花崗街56號,23.978884,121.613026,B1,1059.0,花蓮分局,花蓮縣花蓮市民生里花崗街56號
SMA03013,國治里,花蓮縣花蓮市國治里民國路82號,23.98085,121.608853,B1,177.0,花蓮分局,花蓮縣花蓮市國治里民國路82號
SAM03014,民有里,花蓮縣花蓮市民有里海濱街89號,23.974826,121.615851,B1,110.0,花蓮分局,花蓮縣花蓮市民有里海濱街89號
SAM03015,國治里,花蓮縣花蓮市國治里中正路599號,23.979019,121.609329,B4,4675.0,花蓮分局,花蓮縣花蓮市國治里中正路599號
SMA03016,民生里,花蓮縣花蓮市15鄰重慶路486之6號建築物,23.972284,121.609361,B1,573.0,花蓮分局,花蓮縣花蓮市15鄰重慶路486之6號建築物
SMA03017,國威里,花蓮縣花蓮市國威里三民路3之2號,23.97891,121.6067,B1,71.0,花蓮分局,花蓮縣花蓮市國威里三民路3之2號
SMA03018,國威里,花蓮縣花蓮市國威里三民路46之1號,23.97963,121.60949,B1,182.0,花蓮分局,花蓮縣花蓮市國威里三民路46之1號
SMA03019,國威里,花蓮縣花蓮市國威里中山路20號,23.97704,121.60958,B1,77.0,花蓮分局,花蓮縣花蓮市國威里中山路20號
SMA03020,國威里,花蓮縣花蓮市國威里中山路231號,23.978089,121.608368,B1,675.0,花蓮分局,花蓮縣花蓮市國威里中山路231號
SMA03021,國威里,花蓮縣花蓮市國威里中山路243號,23.978257,121.608238,B1,115.0,花蓮分局,花蓮縣花蓮市國威里中山路243號
SMA03022,民有里,花蓮縣花蓮市民有里北濱路69巷4號,23.976278,121.615199,B1,45.0,花蓮分局
SMA03024,民有里,花蓮縣花蓮市民有里海濱路27號,23.974204,121.61543,B1,101.0,花蓮分局
SMA03025,民有里,花蓮縣花蓮市民有里海濱路33巷11號,23.974204,121.61543,B1,159.0,花蓮分局
