電腦編號,村里別,地址,緯精度,地下樓層數,可容納人數,管轄分局,備註
329.0,小東里,斗南鎮小東里17鄰延平路1段100號,"23.69448, 120.47885",1.0,229.0,斗南分局,
330.0,小東里,斗南鎮小東里16鄰大同路444巷41號,"23.68645, 120.47247",1.0,66.0,斗南分局,
331.0,小東里,斗南鎮小東里17鄰公論路12號,"23.69607, 120.47735",1.0,28.0,斗南分局,
332.0,小東里,斗南鎮小東里17鄰德業路27號,"23.69515, 120.47573",1.0,280.0,斗南分局,
333.0,小東里,斗南鎮小東里17鄰大業路30-10號,"23.67909, 120.48184",1.0,168.0,斗南分局,
334.0,小東里,斗南鎮小東里17鄰德業路16號,"23.69739, 120.47531",1.0,352.0,斗南分局,
335.0,小東里,斗南鎮小東里17鄰德業路29號,"23.69739, 120.47531",1.0,29.0,斗南分局,
336.0,小東里,斗南鎮小東里17鄰公論路3號,"23.69631, 120.47706",1.0,49.0,斗南分局,
337.0,小東里,斗南鎮小東里17鄰公論路2號,"23.69553, 120.47656",1.0,118.0,斗南分局,
338.0,小東里,斗南鎮小東里17鄰公論路14號,"23.69578, 120.47777",1.0,68.0,斗南分局,
339.0,小東里,斗南鎮小東里17鄰德業路33巷15號,"23.69739, 120.47531",1.0,61.0,斗南分局,
340.0,小東里,斗南鎮小東里16鄰大同路444巷11號,"23.68615, 120.47135",1.0,166.0,斗南分局,
341.0,小東里,斗南鎮小東里17鄰公論路19號,"23.69664, 120.47862",1.0,644.0,斗南分局,
342.0,小東里,斗南鎮小東里17鄰公論路21號,"23.69683, 120.47904",1.0,90.0,斗南分局,
343.0,小東里,斗南鎮小東里德業路29號,"23.69497, 120.47628",1.0,433.0,斗南分局,
344.0,小東里,斗南鎮小東里17鄰德業路36號,"23.69739, 120.47531",1.0,120.0,斗南分局,
345.0,小東里,斗南鎮小東里17鄰公論路8號,"23.69645, 120.47788",1.0,85.0,斗南分局,
346.0,小東里,斗南鎮小東里17鄰公論路25號,"23.69626, 120.47972",1.0,204.0,斗南分局,
347.0,小東里,斗南鎮小東里17鄰德業路28號,"23.6954,  120.47647",1.0,115.0,斗南分局,
348.0,小東里,斗南鎮小東里17鄰公論路17號,"23.6964,  120.47816",1.0,134.0,斗南分局,
349.0,小東里,斗南鎮小東里大業路106號,"23.69349, 120.4759",1.0,317.0,斗南分局,
350.0,小東里,斗南鎮小東里17鄰德業路25巷8號,"23.69532, 120.47509",1.0,996.0,斗南分局,
351.0,小東里,斗南鎮小東里16鄰大同路400號,"23.68528, 120.4732",1.0,446.0,斗南分局,
352.0,小東里,斗南鎮小東里17鄰德業路33巷16號,"23.69739, 120.47531",1.0,143.0,斗南分局,
353.0,小東里,斗南鎮小東里15鄰大同路400號,"23.68528, 120.4732",1.0,376.0,斗南分局,
354.0,中天里,斗南鎮中天里中山路120號,"23.67636, 120.47878",1.0,248.0,斗南分局,
